created_at,user.id,extended_tweet.full_text,text,place.name,LATITUDE,LONGITUDE,coordinates.coordinates,place.bounding_box.coordinates
Thu Jul 26 13:44:08 +0000 2018,815945874,,Live event ceiling projections #londonvenue #immersiveevents @ Aures presents Sensorium https://t.co/Es5SIuHD3j,Lambeth,51.50190231,-0.11573165,"[-0.11573165,51.50190231]","[[[-0.15191,51.410792],[-0.15191,51.509887],[-0.078902,51.509887],[-0.078902,51.410792]]]"
Thu Jul 26 13:44:11 +0000 2018,118690377,"We're so close and there is still time for you to sign up for 5 days of intense creativity across 5 art streams to choose from:
-DRAMA
-DANCE
-MUSIC 
-SET DESIGN
-JUNIOR APPRENTICE
Don't… https://t.co/EfjzgJzz4I",We're so close and there is still time for you to sign up for 5 days of intense creativity across 5 art streams to… https://t.co/XqCgvYSfPV,East Ham,51.53270612,0.05524182,"[0.05524182,51.53270612]","[[[-0.008924,51.496049],[-0.008924,51.536046],[0.098752,51.536046],[0.098752,51.496049]]]"
Thu Jul 26 13:44:53 +0000 2018,3014871646,Unveiling our new Logo✨ New Logo alert 😉 This is what our new logo look like😊@Gosbeauty #gosbeautylogo #gosbeautymakeovers #gosbeauty #ukmua #englandmua #londonmua #thamesmeadmua @… https://t.co/sGIB2ucxKa,Unveiling our new Logo✨ New Logo alert 😉 This is what our new logo look like😊@Gosbeauty #gosbeautylogo… https://t.co/320Z4W1RsF,Eltham,51.5084396,0.1235397,"[0.1235397,51.5084396]","[[[0.045148,51.423888],[0.045148,51.512916],[0.133501,51.512916],[0.133501,51.423888]]]"
Thu Jul 26 13:44:54 +0000 2018,3298549810,"#cool #cooldog #cooldogsofinstagram #cooljackrussells #kool #kooldog #hiphop #rnb #popculture #tomfordsunglasses @tomfordintl #london @ London, United Kingdom https://t.co/Y2XunF3sE3",#cool #cooldog #cooldogsofinstagram #cooljackrussells #kool #kooldog #hiphop #rnb #popculture #tomfordsunglasses… https://t.co/GdSKlHEaKa,London,51.50711486,-0.12731805,"[-0.12731805,51.50711486]","[[[-0.187894,51.483718],[-0.187894,51.516466],[-0.109978,51.516466],[-0.109978,51.483718]]]"
Thu Jul 26 13:44:57 +0000 2018,22512795,"Looking for a unique work environment? Rolling foothills and postcard-worthy views of sun and surf surround our idyllic Residence Club, where families and pleasure-seekers come to play. Apply to our Fitness Instructor at #Dogmersfield, England today! https://t.co/tBrBXHoAZZ",Looking for a unique work environment? Rolling foothills and postcard-worthy views of sun and surf surround our idy… https://t.co/bdgcwOuJod,South East,51.2576996,-0.8904552,"[-0.8904552,51.2576996]","[[[-1.957296,50.574606],[-1.957296,52.196285],[1.451788,52.196285],[1.451788,50.574606]]]"
Thu Jul 26 13:45:09 +0000 2018,41859386,Oh dear god it’s so hot in London. It says 33 but I swear it feels like 40! So I think this @_DirtyIceCream_ Bilog with Ube is the best treat! I mean I think I need to move in mamason 😂👌🏽… https://t.co/cmXXx2JjX8,Oh dear god it’s so hot in London. It says 33 but I swear it feels like 40! So I think this @_DirtyIceCream_ Bilog… https://t.co/Iyff1fMqIw,Camden Town,51.5435194,-0.1419564,"[-0.1419564,51.5435194]","[[[-0.213503,51.512805],[-0.213503,51.572068],[-0.105303,51.572068],[-0.105303,51.512805]]]"
Thu Jul 26 13:45:18 +0000 2018,126846206,"See our latest #Dartford, England #job and click to apply: Manufacturing Operative - https://t.co/PlrdX9xEji #Manufacturing #Hiring #CareerArc","See our latest #Dartford, England #job and click to apply: Manufacturing Operative - https://t.co/PlrdX9xEji… https://t.co/iqeTnQzIg7",Dartford,51.44621,0.216872,"[0.216872,51.44621]","[[[0.150383,51.414106],[0.150383,51.466343],[0.262875,51.466343],[0.262875,51.414106]]]"
Thu Jul 26 13:45:59 +0000 2018,1375408062,"""Celebrate the big, the small and the surprise victories. Startup life will throw ups and downs, appreciate every up!"" - James Buckley-Thorp

💥 Entrepreneur of the Year 2018
🌟 SME Advocate… https://t.co/OhT7e9e4k6","""Celebrate the big, the small and the surprise victories. Startup life will throw ups and downs, appreciate every u… https://t.co/S0hY2VwO8E",Camberwell,51.5064704,-0.08826643,"[-0.08826643,51.5064704]","[[[-0.111476,51.419425],[-0.111476,51.509947],[-0.029731,51.509947],[-0.029731,51.419425]]]"
Thu Jul 26 13:46:10 +0000 2018,373375043,,Day of workshops at CARIS Haringey today @ Caris Haringey https://t.co/KaTnxp40Pi,Tottenham,51.580937,-0.0847075,"[-0.0847075,51.580937]","[[[-0.170246,51.564585],[-0.170246,51.611218],[-0.034078,51.611218],[-0.034078,51.564585]]]"
Thu Jul 26 13:46:23 +0000 2018,41842524,,Taken solace from the heat in my second home - the V&amp;A 💜 @ Victoria and Albert Museum https://t.co/elvdn2PTyV,Kensington,51.49666173,-0.17228482,"[-0.17228482,51.49666173]","[[[-0.228589,51.477225],[-0.228589,51.530348],[-0.149791,51.530348],[-0.149791,51.477225]]]"
Thu Jul 26 13:47:34 +0000 2018,14883450,,"3rd stop of the #13 bus pub crusade @ Baker Street Station (@ The Allsop Arms in Paddington, Greater London) https://t.co/CO7A5oDE2a",Paddington,51.5222625,-0.15993193,"[-0.15993193,51.5222625]","[[[-0.21607,51.509879],[-0.21607,51.539792],[-0.13016,51.539792],[-0.13016,51.509879]]]"
Thu Jul 26 13:47:39 +0000 2018,7.03E+17,"Check out
@ThaOfficialRB last night 

petok_productions

shopfrontstudios 
Wood Green N22 6UJ🎶 
Live Music on
Wednesday the 25th of July 
6pm Doors Open . .
#GULive #musicplug #musicflow… https://t.co/HUAqnyIBMQ","Check out
@ThaOfficialRB last night 

petok_productions

shopfrontstudios 
Wood Green N22 6UJ🎶 
Live Music on
Wedne… https://t.co/na0EsAPB6b",Tottenham,51.59696117,-0.11093616,"[-0.11093616,51.59696117]","[[[-0.170246,51.564585],[-0.170246,51.611218],[-0.034078,51.611218],[-0.034078,51.564585]]]"
Thu Jul 26 13:47:44 +0000 2018,19464835,,"🌻🐝
#sunflowercity @ Hitchin Lavender https://t.co/1nZkvqSKuU",East,51.97835139,-0.26950836,"[-0.26950836,51.97835139]","[[[-0.74578,51.448222],[-0.74578,52.992679],[1.768936,52.992679],[1.768936,51.448222]]]"
